,orig,pred
28,5,5
248,3,3
153,5,5
65,5,5
301,4,4
476,5,5
257,5,5
389,2,1
275,3,3
429,4,4
460,4,4
414,5,4
94,4,4
130,5,5
22,4,4
98,1,2
91,3,4
430,2,3
291,3,4
318,4,4
146,3,4
398,3,2
484,4,4
260,5,4
84,5,5
393,3,3
293,4,3
295,5,5
487,2,2
383,5,5
373,2,2
80,3,3
386,5,5
384,5,5
20,5,5
187,3,3
364,5,5
326,2,3
409,5,5
406,2,2
69,4,4
107,5,5
474,3,3
379,3,3
305,4,4
140,2,1
58,3,2
27,1,1
79,0,0
390,2,2
118,5,5
357,5,5
494,5,4
457,2,3
3,3,4
207,4,4
342,4,4
455,2,2
128,5,5
486,5,4
136,5,5
336,5,5
297,4,4
1,2,3
481,4,4
124,5,5
331,4,3
112,4,5
464,2,2
70,2,1
49,5,5
240,3,3
202,4,4
356,4,4
191,5,4
7,5,5
363,4,5
479,5,5
44,4,4
188,5,5
492,0,0
470,5,5
143,5,5
167,5,4
157,5,5
478,2,2
209,4,3
419,2,2
40,4,4
56,4,4
317,5,5
164,4,4
431,5,5
34,5,5
408,5,5
29,5,5
93,2,2
135,5,5
126,4,4
258,5,5
127,4,4
163,5,5
284,4,5
395,3,2
144,5,4
440,4,4
329,3,4
0,4,4
443,5,5
192,4,4
482,5,4
194,5,4
343,3,3
43,5,5
13,2,1
424,1,1
422,5,5
190,5,4
463,5,5
461,5,5
106,5,5
490,2,2
358,1,1
61,5,5
428,4,3
